analysis	duplication_type	term	n	estimate	ci_low	ci_high	p_value	effect_scale	p_adj_BH
descriptive	TD	young	90	0.8888888888888888				same_TAD_fraction	
descriptive	TD	old	140	0.9142857142857144				same_TAD_fraction	
unadjusted_age	TD	same_TAD_odds_young_vs_old	230	0.75			0.6467161859647244	odds_ratio	0.8525951557093425
adjusted_logistic	TD	Intercept	230	2.489511403951496	0.0003689315251313	16798.9629734095	0.8393293124334649	odds_ratio	0.9602840195640846
adjusted_logistic	TD	C(trajectory)[T.Neo(C)]	230	1.0130540211265953	0.2849611187365182	3.6014683486335035	0.9840104084403918	odds_ratio	1.0
adjusted_logistic	TD	C(trajectory)[T.Neo(P)]	230	2.122171252338457	0.4117363420505742	10.938094028383318	0.3684695001826044	odds_ratio	0.624918389323415
adjusted_logistic	TD	C(trajectory)[T.Spe]	230	8.40711798467168	2.319972252555826	30.46572334230504	0.0011909367421545	odds_ratio	0.0262006083274008
adjusted_logistic	TD	young	230	0.6440369535086619	0.2323225186826446	1.7853783603789075	0.397675338660355	odds_ratio	0.624918389323415
adjusted_logistic	TD	log10_distance	230	0.4202694794306767	0.0638877449695475	2.7646371839407062	0.3670981871435336	odds_ratio	0.624918389323415
adjusted_logistic	TD	mean_gene_density	230	1.098713155305036	1.0159216915687117	1.188251621811839	0.0185152810085463	odds_ratio	0.0914168906852037
adjusted_logistic	TD	mean_log_gene_length	230	1.229933869538721	0.7720902276778133	1.9592753142185135	0.3836545859031524	odds_ratio	0.624918389323415
Ks_same_vs_cross_TAD	TD	same_minus_cross_median	230	0.0121835			0.274243343095342	delta_Ks	0.624918389323415
descriptive	PD	young	70	0.8142857142857143				same_TAD_fraction	
descriptive	PD	old	91	0.8241758241758241				same_TAD_fraction	
unadjusted_age	PD	same_TAD_odds_young_vs_old	161	0.9353846153846154			1.0	odds_ratio	1.0
adjusted_logistic	PD	Intercept	161	155669.2046699403	6.174870456375256	3924438812.7288513	0.020776566064819	odds_ratio	0.0914168906852037
adjusted_logistic	PD	C(trajectory)[T.Neo(C)]	161	0.7659428731999058	0.1727044851452059	3.396949908466301	0.7256909106607238	odds_ratio	0.886955557474218
adjusted_logistic	PD	C(trajectory)[T.Neo(P)]	161	2.8261170822275465	0.4363833868633345	18.302570636034943	0.275726431085092	odds_ratio	0.624918389323415
adjusted_logistic	PD	C(trajectory)[T.Spe]	161	4.841655940617641	1.540664938979891	15.215269494507565	0.0069384768541273	odds_ratio	0.0508821635969341
adjusted_logistic	PD	young	161	1.290225193930958	0.4774860612036187	3.4863448094337017	0.615366747225125	odds_ratio	0.8525951557093425
adjusted_logistic	PD	log10_distance	161	0.0651757239469054	0.010743223738088	0.3954004026690043	0.002990603757125	odds_ratio	0.0328966413283758
adjusted_logistic	PD	mean_gene_density	161	1.04690457907819	0.9583410479283786	1.1436525650905778	0.3094309865280966	odds_ratio	0.624918389323415
adjusted_logistic	PD	mean_log_gene_length	161	1.0335811585446557	0.6894154202776374	1.549559206070988	0.872985472330986	odds_ratio	0.9602840195640846
Ks_same_vs_cross_TAD	PD	same_minus_cross_median	161	0.0152942499999999			0.336468494371846	delta_Ks	0.624918389323415
descriptive	TRD	young	8	0.125				same_TAD_fraction	
descriptive	TRD	old	43	0.0232558139534883				same_TAD_fraction	
unadjusted_age	TRD	same_TAD_odds_young_vs_old	51	6.0			0.2917647058823529	odds_ratio	0.624918389323415
Ks_same_vs_cross_TAD	TRD	same_minus_cross_median	51	-0.02783315			0.6588235294117647	delta_Ks	0.8525951557093425
